(1031543W, 321402N)	(1041351W, 322437N)
(1042924W, 320537N)	(1044108W, 320731N)
(1044631W, 320322N)	(1042546W, 325110N)
(1043920W, 322550N)	(1041113W, 322417N)
(1034333W, 323101N)	(1040608W, 320230N)
(1042444W, 324700N)	(1042412W, 325032N)
(1035644W, 323008N)	(1041351W, 322458N)
(1040553W, 322531N)	(1041404W, 322736N)
(1035833W, 323556N)	(1043450W, 324637N)
(1042818W, 322505N)	(1041439W, 321217N)
(1044947W, 320903N)	(1045002W, 322000N)
(1044254W, 324327N)	(1044109W, 320226N)
(1041701W, 321213N)	(1042402W, 325052N)
(1044105W, 321522N)	(1043948W, 321008N)
(1042441W, 322408N)	(1042412W, 325030N)
(1040138W, 324404N)	(1042447W, 324958N)
(1042326W, 324814N)	(1043146W, 321208N)
(1035707W, 324958N)	(1044420W, 325145N)
(1042746W, 325109N)	(1041950W, 321345N)
(1042738W, 322101N)	(1034420W, 323104N)
(1042443W, 320245N)	(1042515W, 324533N)
(1042242W, 324953N)	(1044512W, 325523N)
(1042434W, 324752N)	(1044521W, 320548N)
(1035636W, 323604N)	(1044923W, 321121N)
(1035758W, 324011N)	(1035405W, 322154N)
(1040423W, 321333N)	(1042721W, 324728N)
(1040801W, 325641N)	(1042240W, 324612N)
(1040548W, 321711N)	(1041344W, 322514N)
(1041147W, 322348N)	(1044041W, 321722N)
(1042412W, 324652N)	(1042441W, 322408N)
(1034823W, 321310N)	(1042517W, 325024N)
(1041344W, 322514N)	(1043400W, 322139N)
(1042413W, 321958N)	(1043329W, 325605N)
(1042323W, 324612N)	(1042332W, 322307N)
(1041020W, 322238N)	(1042237W, 324502N)
(1040421W, 321326N)	(1043351W, 324853N)
(1042412W, 325032N)	(1042353W, 325023N)
(1042340W, 324912N)	(1040614W, 321038N)
(1042955W, 322709N)	(1042008W, 320754N)
(1040844W, 322306N)	(1040545W, 321710N)
(1043326W, 322506N)	(1041930W, 324447N)
